complexity,effort,size,doc_density,maintainability,has_bug,source_dataset
5.0,2936.77,24,0.0,51.78,0,cm1
4.0,3447.89,20,0.0,54.74,0,cm1
6.0,5999.58,24,0.0,51.31,0,cm1
1.0,69.74,7,0.0,70.63,0,cm1
2.0,604.36,12,0.0,62.37,0,cm1
5.0,7820.87,25,0.5714285714285714,49.65,0,cm1
15.0,30377.95,46,0.813953488372093,39.76,0,cm1
5.0,17773.08,34,0.717948717948718,45.39,0,cm1
2.0,1287.55,10,0.6666666666666666,62.82,0,cm1
7.0,21659.58,23,0.6296296296296297,49.14,0,cm1
7.0,12929.85,23,0.6296296296296297,50.61,0,cm1
5.0,35852.6,31,0.8823529411764706,44.98,0,cm1
5.0,9958.0,24,0.8695652173913043,49.5,0,cm1
2.0,2480.95,13,0.45454545454545453,58.4,0,cm1
1.0,222.03,6,0.5,70.68,0,cm1
2.0,8684.99,33,0.0,46.49,0,cm1
2.0,1265.83,7,0.0,67.13,0,cm1
1.0,211.89,3,0.0,77.66,0,cm1
1.0,538.26,7,0.0,67.13,0,cm1
3.0,2417.96,9,0.0,63.15,0,cm1
3.0,3156.61,11,0.0,60.54,0,cm1
1.0,117.0,4,0.0,75.59,0,cm1
1.0,49.13,3,0.0,80.4,0,cm1
4.0,7260.95,16,0.7317073170731707,55.21,0,cm1
12.0,139798.54,65,0.95,34.18,0,cm1
41.0,305928.62,177,0.32978723404255317,19.21,0,cm1
5.0,2781.99,14,0.5555555555555556,58.44,0,cm1
70.0,1499684.32,361,0.8377192982456141,5.49,0,cm1
13.0,62767.66,76,0.9411764705882353,34.19,0,cm1
1.0,60566.12,31,0.0,43.36,0,cm1
3.0,3620.93,20,0.0,53.39,0,cm1
5.0,11802.86,27,0.5555555555555556,48.97,0,cm1
3.0,1867.89,15,0.9230769230769231,57.03,0,cm1
4.0,3253.68,13,0.7272727272727273,57.87,0,cm1
6.0,8852.8,32,0.8979591836734694,46.5,0,cm1
3.0,9649.29,25,0.8888888888888888,49.25,0,cm1
4.0,5120.93,22,0.6666666666666666,52.1,0,cm1
6.0,16332.07,28,0.7916666666666666,47.67,0,cm1
2.0,15282.02,18,0.8571428571428571,52.77,0,cm1
5.0,42716.37,24,0.9090909090909091,47.99,0,cm1
9.0,42426.35,62,0.8648648648648649,36.57,0,cm1
12.0,25107.55,65,0.0,36.3,0,cm1
1.0,1269.25,8,0.0,64.35,0,cm1
4.0,3382.91,18,0.5,53.65,0,cm1
1.0,82.35,6,0.6666666666666666,72.46,0,cm1
7.0,23143.92,48,0.875,39.9,0,cm1
10.0,132838.37,127,0.8857142857142857,26.67,0,cm1
4.0,2991.43,21,0.0,52.46,0,cm1
